epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
72,3340.53,0.62372,0.37033,0.97983,0.99973,1,0.995,0.88596,0.56043,0.22211,0.87359,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
73,3389.31,0.61593,0.3647,0.9795,0.99974,1,0.995,0.88552,0.55906,0.22017,0.87335,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
74,3436.49,0.61583,0.35935,0.97636,0.99971,1,0.995,0.88595,0.55867,0.22045,0.87266,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
75,3484.6,0.61583,0.36394,0.97896,0.99978,1,0.995,0.88786,0.55837,0.21874,0.87267,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
76,3532.15,0.61095,0.35913,0.97347,0.99981,1,0.995,0.88647,0.55741,0.21858,0.87259,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
77,3577.79,0.60512,0.35424,0.97287,0.9998,1,0.995,0.88466,0.55662,0.21834,0.8725,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
78,3619.73,0.6068,0.35935,0.97543,0.9998,1,0.995,0.88618,0.55755,0.21752,0.87212,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695
79,3662.68,0.60459,0.35331,0.97344,0.99976,1,0.995,0.88569,0.55827,0.21846,0.87206,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
80,3704.61,0.60425,0.35119,0.97373,0.9998,1,0.995,0.88659,0.55887,0.21751,0.87247,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873
81,3746.63,0.60384,0.34891,0.97364,0.99981,1,0.995,0.88473,0.55916,0.2177,0.87268,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
82,3788.79,0.59486,0.34465,0.96627,0.99977,1,0.995,0.88423,0.55987,0.21676,0.87275,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951
83,3830.82,0.60489,0.34767,0.97117,0.99976,1,0.995,0.88438,0.55967,0.21714,0.87247,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
84,3872.86,0.59059,0.34387,0.96839,0.99978,1,0.995,0.88417,0.55874,0.21686,0.87265,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327
85,3915.28,0.59248,0.34162,0.97045,0.99978,1,0.995,0.88571,0.55797,0.21642,0.87304,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
86,3957.53,0.58932,0.34053,0.96705,0.99977,1,0.995,0.88618,0.55818,0.21602,0.8727,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
87,4004.36,0.58535,0.34082,0.96425,0.99978,1,0.995,0.88491,0.55829,0.21527,0.87264,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
88,4052.66,0.58491,0.34028,0.96637,0.99978,1,0.995,0.88489,0.55829,0.21488,0.87248,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115
89,4096.33,0.58799,0.33933,0.96798,0.99979,1,0.995,0.88569,0.5575,0.21483,0.87269,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
90,4138.39,0.58607,0.34029,0.96927,0.99977,1,0.995,0.88531,0.55751,0.21504,0.87253,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264
